battleMode,idMap,totalTime,idEnemy,levelEnemy,quantityEnemy,spawnEnemyType,timeStart,timeEnd,interval
LastSurvival,0,300,1,1,2,1,0,0,0
,,,1,1,2,2,1,1,0
,,,1,1,3,3,2,2,0
,,,1,1,3,4,3,3,0
,,,1,1,5,4,4,4,0
,,,1,2,3,4,15,15,0
,,,1,3,3,4,20,20,0
,1,120,1,1,2,1,0,0,0
,,,1,1,2,2,1,1,0
,,,1,1,3,3,2,2,0
,,,1,1,3,4,3,3,0
,,,1,1,5,4,4,4,0
,,,1,2,3,4,5,120,2
,2,120,1,1,2,1,0,0,0
,,,1,1,2,2,1,1,0
,,,1,1,3,3,2,2,0
,,,1,1,3,4,3,3,0
,,,2,1,5,4,4,4,0
,,,2,2,2,4,5,120,2
,,,2,2,2,3,5,120,2
,,,2,2,2,2,5,120,2
,,,2,2,2,1,5,120,2
,,,1,2,2,4,5,120,2
,,,1,2,2,3,5,120,2
,,,1,2,2,2,5,120,2
,,,1,2,2,1,5,120,2
,3,150,2,1,3,1,0,150,3
,6,120,1,2,2,1,0,0,0
,,,1,2,2,2,1,1,0
,,,1,2,3,3,3,3,0
,,,1,2,3,4,4,4,0
,,,2,2,4,4,6,6,0
,,,2,7,2,4,8,120,3
,,,2,7,2,3,8,120,3
,,,2,7,2,2,8,120,3
,,,2,7,2,1,8,120,3
,,,1,7,2,4,8,120,3
,,,1,7,2,3,8,120,3
,,,1,7,2,2,8,120,3
,,,1,7,2,1,8,120,3
,9,120,1,2,2,1,0,0,0
,,,1,2,2,2,1,1,0
,,,1,2,3,3,3,3,0
,,,1,2,3,4,4,4,0
,,,2,2,4,4,6,6,0
,,,2,7,2,4,8,120,3
,,,2,7,2,3,8,120,3
,,,2,7,2,2,8,120,3
,,,2,7,2,1,8,120,3
,,,1,7,2,4,8,120,3
,,,1,7,2,3,8,120,3
,,,1,7,2,2,8,120,3
,,,1,7,2,1,8,120,3
