idStat,formula,statType,valueType,statValue,bonusValue
1,a + b * (c - 1),Health,Number,7000,20
,,Damage,Number,20,5
,,MoveSpeed,Number,2.5,0
,,CritRate,Percent,0.1,0
,,CritDamage,Percent,0.2,0
2,a + b * (c - 1),Health,Number,12,15
,,Damage,Number,40,10
,,MoveSpeed,Number,2.5,0
,,CritRate,Percent,0.1,0
,,CritDamage,Percent,0.2,0
501,a + b * (c - 1),Health,2,100,10
,,Damage,2,15,5
,,MoveSpeed,2,1,0
503,a + b * (c - 1),Health,2,70,7
,,Damage,2,15,3
,,MoveSpeed,2,2,0
504,a + b * (c - 1),Health,2,100,7
,,Damage,2,15,5
,,MoveSpeed,2,1,0
505,a + b * (c - 1),Health,2,130,12
,,Damage,2,20,8
,,MoveSpeed,2,1,0
506,a + b * (c - 1),Health,2,100,10
,,Damage,2,20,8
,,MoveSpeed,2,1,0
507,a + b * (c - 1),Health,2,120,11
,,Damage,2,20,5
,,MoveSpeed,2,1,0
508,a + b * (c - 1),Health,2,70,8
,,Damage,2,10,3
,,MoveSpeed,2,2,0
1000,a + b * (c - 1),Health,2,2000,50
,,Damage,2,100,20
,,MoveSpeed,2,1.3,0
